schema_version,summary_kind,analysis_model,method,amplitude_numerator,amplitude_denominator,amplitude,requested_oracle_budget,logical_lookup_oracle_calls,oracle_domain_size,requested_budget_ge_domain_size,realized_calls_ge_domain_size,evaluation_schedule,shots_per_circuit,n,n_requested,n_failed,mean_estimate,bias,rmse,sample_std,sample_variance,mean_absolute_error,empirical_ci_coverage,mean_ci_width,confidence_level,bootstrap_replicates,bootstrap_confidence_level,bootstrap_base_seed,bootstrap_group_seed,bias_bootstrap_ci_low,bias_bootstrap_ci_high,rmse_bootstrap_ci_low,rmse_bootstrap_ci_high,sample_std_bootstrap_ci_low,sample_std_bootstrap_ci_high,full_range_loglog_rmse_slope,slope_status,slope_point_count,slope_min_logical_lookup_oracle_calls,slope_max_logical_lookup_oracle_calls,full_range_loglog_rmse_slope_bootstrap_ci_low,full_range_loglog_rmse_slope_bootstrap_ci_high,slope_bootstrap_valid_resamples,slope_bootstrap_joint_replicates,slope_bootstrap_seed
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,63,64,0.984375,32,18,64,False,False,"[0,1,2,4]",1,256,256,0,0.9254975318908691,-0.05887746810913086,0.14433367719190293,0.13203694454655482,0.01743375472518999,0.06323099136352539,0.70703125,0.6613907814025879,0.95,2000,0.95,20260801,2817057757,-0.07516731023788452,-0.04348074197769165,0.10677551423963144,0.17897140487696803,0.09596117028466465,0.1626724346876736,-1.1907378791727785,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.2913970512492456,-1.1116556959165764,2000,256,1459435620
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,63,64,0.984375,64,35,64,True,False,"[0,1,2,4,8]",1,256,256,0,0.938633918762207,-0.04574108123779297,0.1086617308246899,0.09875841110174129,0.009753223763340537,0.05136299133300781,0.8671875,0.6932315826416016,0.95,2000,0.95,20260801,3487058516,-0.057946705818176264,-0.03422613143920899,0.08110057083928668,0.1375017518626537,0.07321187281588519,0.12580945579351266,-1.1907378791727785,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.2913970512492456,-1.1116556959165764,2000,256,1459435620
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,63,64,0.984375,128,105,64,True,True,"[0,1,2,4,8]",3,256,256,0,0.9229278564453125,-0.0614471435546875,0.20104039858671785,0.1917946363487316,0.03678518253214219,0.06573104858398438,0.875,0.18488740921020508,0.95,2000,0.95,20260801,3543262588,-0.08471728563308716,-0.03923372030258179,0.15380731391944494,0.24242084604330524,0.1489741505820879,0.22750157606835095,-1.1907378791727785,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.2913970512492456,-1.1116556959165764,2000,256,1459435620
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,63,64,0.984375,256,245,64,True,True,"[0,1,2,4,8]",7,256,256,0,0.9703869819641113,-0.013988018035888672,0.0846063580436322,0.08360547454271595,0.0069898753735127255,0.016590595245361328,0.9375,0.03454923629760742,0.95,2000,0.95,20260801,4072089520,-0.02548201084136963,-0.0042435288429260275,0.04588206327403151,0.11412809813772705,0.04579058449790702,0.11156291753890299,-1.1907378791727785,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.2913970512492456,-1.1116556959165764,2000,256,1459435620
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,63,64,0.984375,512,490,64,True,True,"[0,1,2,4,8]",14,256,256,0,0.9843020439147949,-7.295608520507812e-05,0.0030946295137075862,0.0030998297009553447,9.608944174924901e-06,0.0015206336975097656,0.92578125,0.0067615509033203125,0.95,2000,0.95,20260801,1013177088,-0.00047734975814819327,0.00026370286941528314,0.001645603956591213,0.004734952273821801,0.0016466233791059793,0.004727341695097428,-1.1907378791727785,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.2913970512492456,-1.1116556959165764,2000,256,1459435620
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,63,64,0.984375,1024,1015,64,True,True,"[0,1,2,4,8]",29,256,256,0,0.984403133392334,2.8133392333984375e-05,0.0011340113987792343,0.0011358830604476448,1.2902303270119077e-06,0.0009055137634277344,0.9453125,0.004320621490478516,0.95,2000,0.95,20260801,3771071733,-0.00011112689971923823,0.000171661376953125,0.001040813427077988,0.0012298479860683802,0.0010407246351081248,0.001228806737760855,-1.1907378791727785,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.2913970512492456,-1.1116556959165764,2000,256,1459435620
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,64,64,1.0,32,18,64,False,False,"[0,1,2,4]",1,256,256,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.013671875,0.95,2000,0.95,20260801,2401754366,0.0,0.0,0.0,0.0,0.0,0.0,,undefined_full_range_contains_nonpositive_or_missing_rmse,0,,,,,0,0,427370325
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,64,64,1.0,64,35,64,True,False,"[0,1,2,4,8]",1,256,256,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00390625,0.95,2000,0.95,20260801,1885209105,0.0,0.0,0.0,0.0,0.0,0.0,,undefined_full_range_contains_nonpositive_or_missing_rmse,0,,,,,0,0,427370325
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,64,64,1.0,128,105,64,True,True,"[0,1,2,4,8]",3,256,256,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00146484375,0.95,2000,0.95,20260801,3024527683,0.0,0.0,0.0,0.0,0.0,0.0,,undefined_full_range_contains_nonpositive_or_missing_rmse,0,,,,,0,0,427370325
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,64,64,1.0,256,245,64,True,True,"[0,1,2,4,8]",7,256,256,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0006103515625,0.95,2000,0.95,20260801,3766252776,0.0,0.0,0.0,0.0,0.0,0.0,,undefined_full_range_contains_nonpositive_or_missing_rmse,0,,,,,0,0,427370325
